Lag,ACF Value
0,1.0
1,0.7557449240911551
2,0.3332907392263907
3,0.036881830772437604
4,-0.08892548163537192
5,-0.13452988632678706
6,-0.16313450886453312
7,-0.17759190834433497
8,-0.15464478444110746
9,-0.005602628411488961
10,0.26702648172393445
11,0.46130028530367395
12,0.412404937778573
13,0.20313526739139684
14,-0.009251638834432184
15,-0.13404059280650443
16,-0.1764939639908582
17,-0.19753817111276045
18,-0.2194230239716457
19,-0.2242886165042894
20,-0.16693159577403435
21,-0.022106580573579247
22,0.08614913853102282
23,0.07757792155942711
24,-0.007054142002595355
25,-0.10186286210326596
26,-0.15915679320556395
27,-0.16942154847549115
28,-0.1772409108557045
29,-0.18256971844013978
30,-0.17951326508806922
31,-0.14542035745037613
32,-0.08142678695969785
33,-0.013062016932716383
34,0.057382631611973704
35,0.07524870352097796
36,0.03998407649301724
37,-0.013592057563668415
38,-0.055389419441468926
39,-0.08790225817625054
40,-0.11051556977252859
