,Coef.,Std.Err.,z,P>|z|,CI_lower,CI_upper
JKM,-26843919.38168923,0.019287751708634344,-1391759899.6088433,0.0,-26843919.41949253,-26843919.343885932
TTF,14735628.159305017,0.015989043196705906,921607877.2206256,0.0,14735628.127967069,14735628.190642966
NBP,12108291.233527413,0.034743367645075386,348506551.1559203,0.0,12108291.165431663,12108291.301623162
Spread EU-US,15545731.06700113,0.018954682926582315,820152525.2210671,0.0,15545731.029850634,15545731.104151627
Spread ASIA-US,-3437439.8166210908,0.015956719002589704,-215422720.42662466,0.0,-3437439.847895685,-3437439.7853464964
Spread ASIA-EU,30281359.2562902,0.00508526591973008,5954724833.327399,0.0,30281359.24632326,30281359.26625714
ar.L1,0.5404179291723731,0.22620380450906274,2.38907533118313,0.016890838610539124,0.09706661916867104,0.9837692391760751
ma.L1,-0.35127920823269293,0.271649829969925,-1.2931324428643445,0.19596525608750148,-0.8837030913801753,0.18114467491478942
ma.L2,-0.5687912561864994,0.1976744373008179,-2.8774143179723417,0.004009487789224737,-0.9562260339603235,-0.18135647841267527
ar.S.L12,0.33200444469294427,0.2631652023681347,1.2615818569679749,0.20709928802524424,-0.1837898739327946,0.8477987633186832
sigma2,0.07317417291042992,0.01888620333196356,3.8744776609805855,0.00010685364418691503,0.03615789457508097,0.11019045124577886
